INDEX;A_TOTAL_AMT_DELQ_1;A_TOTAL_BALANCES;A_TOTAL_NBR_ACCTS;MARITAL_STATUS_1;MARITAL_STATUS_2;MARITAL_STATUS_3;MARITAL_STATUS_4;RENT_BUY_CODE_1;RENT_BUY_CODE_2;RENT_BUY_CODE_3;RENT_BUY_CODE_4;CURR_RES_MTHS;PREV_RES_MTHS;OCCN_CODE;CURR_EMPL_MTHS;PREV_EMPL_MTHS;CHQ_ACCT_IND_1;CHQ_ACCT_IND_2;CHQ_ACCT_IND_3;SAV_ACCT_IND_1;SAV_ACCT_IND_2;SAV_ACCT_IND_3;TOTAL_NBR_CREDIT_CARDS;NBR_OF_DEPENDANTS;AMEX_CARD_1;DINERS_CARD_1;VISA_CARD_1;MASTERCARD_1;RETAIL_CARDS_1;B_ENQ_LAST_WEEK;B_ENQ_L1M;B_ENQ_L3M;B_ENQ_L6M_GR1;B_ENQ_L6M_GR2;B_ENQ_L6M_GR3;B_ENQ_L12M_GR1;B_ENQ_L12M_GR2;B_ENQ_L12M_GR3;B_DEF_PAID_L12M;B_ENQ_L6M;B_DEF_PAID_IND_1;B_DEF_UNPD_IND_1;A_DISTRICT_APPLICANT;DVR_LIC;CREDIT_CARD_TYPE_1;AGE_AT_APPLICATION;TARGET_FLAG_1
89;1;1;0.5;1;0;0;1;1;1;0;0;0.041871921;0.681818182;0.833333333;0.108333333;0.294117647;1;0;0;1;0;0;0.5;0;1;1;1;1;1;0;0;0;0.333333333;0;0;0.25;0.8;0.4;0;0.142857143;0;0;0.166666667;1;1;0.255319149;1
95;0;0;0;1;1;0;0;1;1;0;0;0.027093596;0.136363636;0;0.033333333;0;1;0;0;1;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0.666666667;0.333333333;0;0.4;0.2;0;0.428571429;0;0;0.666666667;1;0;0.531914894;1
110;0;1;1;1;0;0;1;1;1;0;0;0.120689655;0.022727273;0.277777778;0.255555556;0.529411765;0;1;0;0;1;0;1;0.75;1;1;1;1;1;0;0;0.25;0.333333333;0;0;0.5;0;0;0;0.142857143;0;0;0.333333333;1;1;0.319148936;1
145;0;0;0;1;1;0;0;1;1;0;0;0.056650246;0.181818182;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.25;0.333333333;0;0.333333333;0.25;0;0.2;0;0.285714286;0;0;0.166666667;1;0;0.595744681;1
167;0;0;0;1;0;1;0;1;0;1;0;0.130541872;0.022727273;0;0.177777778;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0;0;0.25;0;0;0;0.142857143;0;0;0.5;1;0;0.170212766;1
170;0;1;0.5;1;0;0;1;1;1;0;0;0.204433498;0;0.833333333;0.133333333;1;1;0;0;1;0;0;0.5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.833333333;1;1;0.468085106;1
184;0;0;0;1;1;0;0;1;1;0;0;0.150246305;0.007575758;0;0.205555556;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0.5;0;0;0.666666667;0;0;0.4;0;0.285714286;0;0;0.166666667;0;0;0.595744681;1
249;0;0;0;1;0;0;1;1;1;0;0;0.293103448;0;0;0.088888889;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.25;1;0.5;0;0;0.666666667;0;0;0.4;0;0.285714286;0;0;0.333333333;1;0;0.234042553;1
353;0;0;0;1;0;1;0;0;1;1;0;0.007389163;0.181818182;0;0.166666667;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.5;0.25;0;0;0.333333333;0.25;0;0.2;0;0.142857143;0;0;0.5;1;0;0.085106383;1
511;0;0;0;1;0;1;0;1;0;1;0;0.017241379;0.022727273;0;0.033333333;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;1;0;0.276595745;1
